ticker,Open,High,Low,Close,Volume,Money,Change
137940,1460,1475,1385,1415,869375,1229968635,-2.75
348210,63500,64400,61000,63100,87555,5486330400,1.28
041140,14000,14700,13900,14650,441461,6414201400,4.27
217270,24800,24850,23800,24150,182652,4418228400,-3.01
225570,13150,13350,12950,13100,133033,1743663800,0.0
104620,27400,29150,27000,28000,786541,22243064800,4.67
194700,43150,43750,42150,42200,69510,2960151100,-2.54
285490,48050,48500,46500,46600,87359,4121219300,-2.61
278650,30350,31700,29900,31000,373183,11564737650,2.65
144510,104300,107200,100700,103900,253100,26174409200,-0.76
031390,41750,42050,41100,41950,99472,4150354950,0.48
142280,11750,11950,11150,11250,177505,2044191650,-3.85
234690,12600,12700,12250,12300,79953,995366300,-2.38
065560,0,0,0,5770,0,0,0.0
054050,13350,13350,12850,13000,108786,1420167150,-0.76
069140,7360,7580,7190,7420,157385,1166937990,0.27
040160,7320,7450,7210,7270,48602,355604050,-1.09
126870,0,0,0,2230,0,0,0.0
060260,1560,1560,1505,1525,196716,300905190,-2.24
012340,3655,3665,3570,3575,261027,938770635,-2.19
214870,11450,11550,11050,11100,277598,3119024650,-3.48
270870,33750,34300,33450,33800,39294,1326188950,-0.29
144960,6460,6520,6360,6450,242760,1556463290,0.62
900100,0,0,0,717,0,0,0.0
085670,1975,1985,1925,1940,170799,332310265,-2.27
119860,30550,30800,30100,30500,77612,2358017550,-0.16
064260,7740,8450,7710,7760,20827383,169566171620,0.26
093640,3065,3115,3020,3020,60137,183548340,-2.27
039560,9780,9850,9620,9620,236155,2289047270,-1.43
032190,13350,13550,13200,13400,129728,1731503950,0.75
068240,19600,19750,19000,19350,303247,5876682200,-0.77
020400,10850,11000,10600,10700,28327,304708050,-1.38
008830,4765,4980,4745,4900,149778,726054645,2.19
048470,7180,7300,6480,6780,659145,4563402100,-4.51
004780,6340,6530,6130,6180,372095,2339541510,-2.52
017650,14950,14950,14400,14650,32146,469122900,-2.01
007720,1385,1400,1360,1380,527629,731317995,-0.36
317850,6070,6170,5890,6000,140565,843665150,-1.8
290670,35700,35700,34650,35400,26186,920729000,-0.28
078140,10900,11100,10650,10650,48988,531192300,-2.74
036480,19100,19400,18950,19150,39976,763551650,0.52
025440,1165,1205,1150,1180,847579,995582870,1.72
027830,3910,4045,3880,3975,951549,3768361040,1.92
104040,2810,2875,2760,2805,1701470,4804603725,0.0
332290,0,0,0,2150,0,0,0.0
336570,2135,2140,2120,2135,3213,6870095,0.0
369370,2140,2140,2140,2140,1,2140,0.47
020180,1915,1935,1860,1910,323779,615622220,0.0
045390,5450,5590,5440,5510,1169956,6450171840,1.1
108380,18100,18950,18000,18600,212451,3956447450,3.05
006580,0,0,0,3260,0,0,0.0
007680,10800,10900,10550,10700,48492,518277050,0.0
048910,36050,36700,33250,34600,436710,15151586350,-4.55
005710,8570,8730,8100,8210,107744,894919290,-4.2
290380,14000,14250,13900,14100,63637,894597300,0.0
290120,7750,7860,7730,7780,86908,676869460,-1.14
120240,30150,31400,29850,29950,189824,5814099850,-0.17
003310,2585,2615,2510,2510,2301310,5885798710,-1.57
078600,48850,50600,47200,50500,427770,20858277550,2.43
096350,493,514,481,486,10555511,5282843972,-0.41
140520,3640,3880,3530,3745,3195423,11928560615,5.2
131220,16400,17250,16050,16050,1012927,16959593100,-0.93
010170,3230,3275,3180,3185,454217,1459630910,-1.39
060900,2900,2950,2870,2920,2126606,6178870240,0.69
054670,11550,11750,11500,11650,67646,783397250,0.87
023910,42150,42500,38800,41200,55646,2294535200,-1.9
021040,944,944,893,913,875757,804753212,-0.87
021045,1540,1540,1480,1500,26000,38876390,0.0
067080,12400,12400,12050,12100,69667,850754300,-2.02
298540,53600,54400,52600,53500,70893,3783545800,0.0
299170,3235,3280,3180,3240,79933,256925085,-0.92
213420,42900,43700,41900,43200,226587,9633511100,-0.46
317330,20800,20950,19750,19750,386557,7870572000,-3.89
077360,13700,13900,13550,13900,130214,1789183600,1.46
090410,1585,1595,1545,1570,762025,1195035050,-0.95
263600,8870,8890,8680,8800,164815,1444787310,-0.34
194480,110700,116000,104600,114100,215061,23633750200,4.68
263800,6120,6190,5990,6060,39879,241341360,-0.98
206560,6910,7080,6750,6930,424311,2930541230,1.02
261200,0,0,0,2175,0,0,0.0
067990,7940,8050,7640,7760,801355,6255248120,-2.27
006620,10000,10100,9720,9800,548869,5433301160,-1.51
100130,6060,6090,5930,6050,321011,1928455280,0.5
005160,4270,4380,4150,4160,439319,1862618625,-2.8
075970,6010,6210,5870,5940,856134,5143040810,-1.82
086450,28150,28350,27750,28350,163460,4584897400,0.71
099410,2030,2095,1955,2040,379010,767864850,-0.24
033500,13200,13750,13150,13350,944778,12731949950,1.91
025950,52900,53200,50000,50100,142505,7305938100,-3.47
088130,10450,10500,9850,10350,189470,1926550030,-0.96
041930,12450,12450,11850,11850,205853,2479739500,-4.05
060380,3420,3755,3275,3340,3718213,12563529625,4.7
079960,18900,19000,18250,18650,72127,1338437300,-1.32
228340,6540,6700,6350,6620,173046,1127391130,3.76
088910,3505,3540,3440,3455,204950,712782460,-1.43
094170,10100,10150,9730,9900,385225,3805402170,-2.46
013120,6530,6720,6430,6430,236682,1547448890,-1.53
109860,13650,13650,13300,13400,9858,133441350,-1.11
032960,14850,15300,14150,14200,63106,914625650,-4.38
023790,6320,8020,6300,7540,2919018,21313423960,19.87
005290,30250,30900,30000,30850,437090,13279595650,2.32
025900,73000,74700,70000,72300,251157,17986616100,-1.23
073190,4290,4410,4195,4300,1139781,4939480660,2.26
030350,2425,2435,2335,2340,392557,921655450,-3.9
203650,5150,5240,4970,4985,1925378,9756451060,-3.2
223250,17600,17600,17000,17500,10390,179434450,-0.57
060570,5630,5830,5600,5730,422286,2447768840,1.6
217620,1830,1845,1800,1800,106385,193290230,-2.17
187870,38500,39150,37400,37950,83469,3165154550,-0.91
066670,4830,4905,4785,4850,86470,418381165,-0.61
110990,12050,12500,11850,12350,100500,1230830400,2.07
263690,15350,15450,14450,14500,301059,4439974650,-5.54
214680,1590,1630,1575,1615,595639,953087990,0.31
263720,44500,45500,43000,43600,182468,8026762400,-3.11
109740,6520,6690,6410,6510,132435,865593920,1.09
033430,0,0,0,370,0,0,0.0
131030,8210,8340,8130,8210,122285,1002874310,0.12
196490,5970,6000,5860,5900,147042,869303800,-1.67
066900,4790,4890,4705,4790,80019,382688905,0.0
127120,6910,7450,6560,7040,2568411,18066135670,0.57
092070,23950,24900,23950,24100,135482,3306662600,1.05
134580,3040,3260,3040,3200,172417,543401350,5.26
039840,40900,41300,40300,40850,85058,3471813900,0.12
104460,27500,28450,27400,28000,68180,1898727700,1.82
079810,7990,8260,7960,8160,109883,892963670,3.29
227100,11200,11300,10600,10700,97007,1051503700,-4.46
113810,760,760,720,729,448804,329600597,-4.08
043360,3275,3300,3150,3240,124780,401178065,-1.82
197140,6500,6540,6270,6350,217958,1389785360,-2.91
