Date,Open,High,Low,Close,Volume
2020-12-17,63100,63600,62900,63400,11765
2020-12-18,63500,63700,63100,63600,13019
2020-12-21,63800,63900,63100,63900,12362
2020-12-22,63900,64500,63400,63700,17727
2020-12-23,64000,67000,63700,66800,52774
2020-12-24,66800,68700,66800,68700,62845
2020-12-28,69000,70800,68500,69500,92144
2020-12-29,69500,70800,68700,70700,23284
2020-12-30,70600,72600,70000,72400,14967
2021-01-04,72500,72700,70500,72700,23399
2021-01-05,72300,74800,72200,74700,21131
2021-01-06,75000,76000,74100,75000,20200
2021-01-07,75000,76400,75000,76100,15594
2021-01-08,76600,81900,76400,81400,36061
2021-01-11,81600,82400,75600,78700,33883
2021-01-12,78100,80000,75100,78400,23449
2021-01-13,78800,81200,78800,81200,20895
2021-01-14,81100,86500,80800,85600,43757
2021-01-15,86000,87600,84500,86400,36089
2021-01-18,84400,84400,80000,81300,29126
2021-01-19,81000,82600,79600,82300,20101
2021-01-20,82600,82900,80800,81500,22814
2021-01-21,81600,83200,81400,82000,12915
2021-01-22,82000,83300,81400,81500,14823
2021-01-25,81600,83600,81500,83600,13447
2021-01-26,83800,83800,80700,81000,28793
2021-01-27,81200,82300,80600,81900,14857
2021-01-28,79900,80500,76500,76600,37904
2021-01-29,78000,78000,73500,73500,40891
2021-02-01,73600,76600,73400,76300,10692
2021-02-02,76300,79300,76300,78200,10372
2021-02-03,78600,79400,78000,79100,34542
2021-02-04,78600,79000,77700,78600,16263
2021-02-05,79400,79400,77500,78900,7244
2021-02-08,79100,79100,77900,79000,13427
2021-02-09,78900,79200,78300,78600,5981
2021-02-10,78200,79000,77700,78000,4691
2021-02-15,78300,78700,77700,78000,14871
2021-02-16,78400,78500,77600,78200,12143
2021-02-17,78200,78300,76400,76700,11945
2021-02-18,77400,77400,75200,75200,11186
2021-02-19,76000,76000,74200,75600,17706
2021-02-22,76200,76600,75200,76600,7052
2021-02-23,75000,77900,75000,77500,7240
2021-02-24,77400,77400,74600,76200,9235
2021-02-25,75900,77000,75900,76200,8413
2021-02-26,75000,75300,72400,73600,16374
2021-03-02,74000,74600,72400,72600,7231
2021-03-03,72600,73100,71000,72900,23383
2021-03-04,72500,72500,71200,71800,3238
2021-03-05,71700,71700,70500,71200,7449
2021-03-08,71600,71600,69600,69900,11993
2021-03-09,70000,70700,68800,70500,7498
2021-03-10,70300,72600,69600,71000,17419
2021-03-11,70600,72000,70600,71100,4697
2021-03-12,71500,73500,71400,73300,7741
2021-03-15,73400,73400,72500,72800,3256
